gv_deactivate_account_reason_id,user_id,reason,created_at,updated_at
92e21439-1be1-4043-b4aa-bef8a0d73362,fbcabfb2-0ba7-4f70-8618-151570a3e33f,I found a better alternative.  ,2022-09-22 09:54:09.573558+05:45,2022-09-22 09:54:09.573558+05:45
4ac6996d-12d0-40c5-954e-d9e6a0456510,fbcabfb2-0ba7-4f70-8618-151570a3e33f,I found a better alternative.  ,2022-09-22 10:23:55.762209+05:45,2022-09-22 10:23:55.762209+05:45
f34dca44-2ae7-4f11-ab70-76c4c54e405f,f39e7c04-364b-472a-aa86-d76a227a9809,This is temporary. I’ll be back.  ,2022-09-22 11:10:53.428969+05:45,2022-09-22 11:10:53.428969+05:45
751b84d1-99cb-4a57-b61c-a3fc89f58392,fbcabfb2-0ba7-4f70-8618-151570a3e33f,This is temporary. I’ll be back. xtyhzh ,2022-09-22 12:17:32.795848+05:45,2022-09-22 12:17:32.795848+05:45
a9b83b82-ff63-4fb0-988a-ea955b7ed09f,0eaf2bbf-aa1a-4a27-97f0-c513cc7d1ea4,This is temporary. I’ll be back. ok ,2022-09-22 12:52:01.434092+05:45,2022-09-22 12:52:01.434092+05:45
07b701d8-64e9-42b5-865d-91fbc76bb404,fbcabfb2-0ba7-4f70-8618-151570a3e33f,This is temporary. I’ll be back. ccdd ,2022-09-22 13:06:27.408414+05:45,2022-09-22 13:06:27.408414+05:45
5db831de-5c00-4c49-882c-47e7f7c6a7ae,0eaf2bbf-aa1a-4a27-97f0-c513cc7d1ea4,This is temporary. I’ll be back.  ,2022-09-22 13:22:40.917478+05:45,2022-09-22 13:22:40.917478+05:45
a265d7c6-8892-4deb-aa40-c102c6289e27,1a02e5e5-b73d-4b11-b393-d2f9db2d352b,This is temporary. I’ll be back.  ,2022-09-22 14:11:45.6685+05:45,2022-09-22 14:11:45.6685+05:45
7b1a58ee-be6b-4731-bbba-f5f13e8210ff,0eaf2bbf-aa1a-4a27-97f0-c513cc7d1ea4,This is temporary. I’ll be back.  ,2022-09-22 14:13:35.385278+05:45,2022-09-22 14:13:35.385278+05:45
d8845716-8451-4c10-a4d4-cf07d3335c5a,fbcabfb2-0ba7-4f70-8618-151570a3e33f,This is temporary. I’ll be back. trrt ,2022-09-22 14:34:51.657927+05:45,2022-09-22 14:34:51.657927+05:45
