"id","created_at","updated_at","deleted","user_id","rc_user_id","transaction_id","original_transaction_id","product_id","currency","price","purchase_date","expiration_date","grace_date","type","store"
"a16a3614-70d0-462c-a6a2-dc642aea1594","2024-03-27 22:05:37.238449+05:45","2024-03-27 22:05:37.238449+05:45",False,"704fbfdf-0d18-4e35-ba51-a0a4295b6d26","$RCAnonymousID:ed9f687e3546420fbb568233231914d6","470001776276716",NULL,"Monthly","USD","0","2024-01-02 02:44:46+05:45","2024-02-02 02:44:46+05:45","2024-02-05 02:44:46+05:45","PRODUCT_CHANGE","APP_STORE"
"74c785ad-abc6-4620-88bf-f35cb7cacbfe","2024-03-27 22:05:37.441553+05:45","2024-03-27 22:05:37.441553+05:45",False,"704fbfdf-0d18-4e35-ba51-a0a4295b6d26","$RCAnonymousID:ed9f687e3546420fbb568233231914d6","470001878323288","470001755204801","Yearly","USD","41.99","2024-03-27 22:05:33+05:45","2025-03-27 22:05:33+05:45","2025-03-30 22:05:33+05:45","RENEWAL","APP_STORE"
"ad9f168c-d1c2-4a41-b7dd-8db8e872dc0e","2024-03-28 13:00:10.619907+05:45","2024-03-28 13:00:10.619907+05:45",False,"61779fff-9c8a-44f3-a03a-ff0c9f2c144f","$RCAnonymousID:d00bbbe59be948de927ba509c21548f6","530001325646642","530001014800374","Yearly","USD","29.99","2023-03-31 00:21:59+05:45","2024-03-31 00:21:59+05:45","2024-04-03 00:21:59+05:45","RENEWAL","APP_STORE"
"9877970d-1174-49ff-9ad5-fd9e0ec7a83c","2024-03-28 13:02:06.628217+05:45","2024-03-28 13:02:06.628217+05:45",False,"55ffe089-f1b8-439f-a34c-8f3f04cfe6e9","$RCAnonymousID:2c6ab4d47ddb458b9e037d999b1b2f13","GPA.3335-0861-5076-41637..2","GPA.3335-0861-5076-41637","Monthly","INR","410","2024-01-01 11:30:05.242+05:45","2024-04-08 11:28:24.695+05:45","2024-04-11 11:28:24.695+05:45","RENEWAL","PLAY_STORE"
"4fb62db4-3b07-4283-8b64-472890c8235b","2024-03-28 13:04:58.121337+05:45","2024-03-28 13:04:58.121337+05:45",False,"2e0c0a6c-2b08-4bdf-843e-dbeedc1dc06a","$RCAnonymousID:53e4ba9dfa9d4b849369dbcc9b075aca","GPA.3345-3299-1690-88362..4","GPA.3345-3299-1690-88362","Monthly","SAR","19.99","2023-10-08 20:55:18.645+05:45","2024-04-08 20:54:35.031+05:45","2024-04-11 20:54:35.031+05:45","RENEWAL","PLAY_STORE"
"3e29de7e-a217-46d1-9ecc-30c4ce296ae1","2024-03-28 13:06:11.086373+05:45","2024-03-28 13:06:11.086373+05:45",False,"c0348524-fa77-417e-8f3f-0ced76779b10","$RCAnonymousID:767801e0d8494d9eab96bacf6560d84c","290001206658089","290001200670604","Yearly","USD","29.99","2022-07-27 17:55:36+05:45","2023-07-27 17:55:36+05:45","2023-07-30 17:55:36+05:45","RENEWAL","APP_STORE"
"bbef402c-a0fb-42b5-8798-e797d6e6b3d2","2024-03-28 14:06:40.443491+05:45","2024-03-28 14:06:40.443491+05:45",False,"61a12dbf-f8b8-44a6-bd7c-d16d28eb82fe","$RCAnonymousID:932d969c275d437ebcf9a8a4db030a09","190001923412947","190001720076013","Monthly","USD","4.99","2024-03-01 02:01:43+05:45","2024-03-31 01:01:43+05:45","2024-04-03 01:01:43+05:45","RENEWAL","APP_STORE"
"db617a6a-1868-45cd-aaa1-63348ccd09f2","2024-03-28 07:34:42.209169+05:45","2024-03-28 07:34:42.209169+05:45",False,"8769092a-98cb-4376-9d33-386c4d5cabd3","$RCAnonymousID:8da7065d69524a508e539ac1e576f309","540001498666740",NULL,"Yearly","BRL","0","2024-03-28 07:34:37+05:45","2024-04-04 07:34:37+05:45","2024-04-07 07:34:37+05:45","CANCELLATION","APP_STORE"
"f0296577-94a0-4b03-97c9-64148bca218c","2024-03-28 15:58:22.899538+05:45","2024-03-28 15:58:22.899538+05:45",False,"f759be80-6df3-4637-95f7-1c0d10327026","$RCAnonymousID:da69656e36244926b822cd3d111e787a","190001954479312","190001200452209","Monthly","USD","4.99","2024-03-25 17:07:48+05:45","2024-04-25 17:07:48+05:45","2024-04-28 17:07:48+05:45","RENEWAL","APP_STORE"
"d4975a06-47a2-4e60-a195-73f6335b84d0","2024-03-28 16:10:25.173464+05:45","2024-03-28 16:10:25.173464+05:45",False,"4a32477d-9b64-4f51-9ce4-5a21ac82f5fd","$RCAnonymousID:8d66b153504b4af993a6cb9f4c854cc1","540001499038778",NULL,"Yearly","USD","0","2024-03-28 16:10:22+05:45","2024-04-04 16:10:22+05:45","2024-04-07 16:10:22+05:45","CANCELLATION","APP_STORE"
"0ca1bdae-823d-4b4c-8c95-6458f6f557c0","2024-03-28 17:32:40.760614+05:45","2024-03-28 17:32:40.760614+05:45",False,"86a69529-1e10-4734-8e0e-66004b3fb532","$RCAnonymousID:da34ac5fc88d4c2393e20898f6b12de2","GPA.3328-2275-4107-99838..0","GPA.3328-2275-4107-99838","Yearly","MXN","979","2023-11-03 15:51:56.912+05:45","2024-11-10 15:51:42.956+05:45","2024-11-13 15:51:42.956+05:45","RENEWAL","PLAY_STORE"
"404a3c6a-c5bf-4092-80e5-4a79966451bd","2024-03-28 18:30:21.582329+05:45","2024-03-28 18:30:21.582329+05:45",False,"06a424b1-6f00-46ca-9b54-a47af4b94b38","$RCAnonymousID:710b3259a8bd4858b3924cfc97ac774f","210001691797715","210001520967068","Monthly","AUD","7.49","2024-03-01 07:19:41+05:45","2024-03-30 06:19:41+05:45","2024-04-02 06:19:41+05:45","RENEWAL","APP_STORE"
"d4cebcb9-e328-4f82-a65c-4691c6366eee","2024-03-28 19:08:09.858898+05:45","2024-03-28 19:08:09.858898+05:45",False,"3047c5b9-5616-4da4-979c-a701a5b287cd","$RCAnonymousID:40925c099aad4fac8bb320bbc64ebc68","580000725801712","580000721927424","Yearly","USD","0","2021-08-24 07:32:23+05:45","2022-08-24 07:32:23+05:45","2022-08-27 07:32:23+05:45","CANCELLATION","APP_STORE"
"5413f937-7cc9-440e-9e17-17b0a660d3f0","2024-03-28 21:39:21.731928+05:45","2024-03-28 21:39:21.731928+05:45",False,"74a487a3-d31e-4096-98dd-8bdf25b46222","$RCAnonymousID:c7477284c83b41c5bf0116499b90ca26","GPA.3393-7459-4390-41091..0","GPA.3393-7459-4390-41091","Yearly","USD","41.99","2023-07-11 05:41:32.71+05:45","2024-07-18 05:37:55.008+05:45","2024-07-21 05:37:55.008+05:45","RENEWAL","PLAY_STORE"
"2d70ef61-e025-4a25-b3ad-e4bb34dae476","2024-03-29 00:43:26.895538+05:45","2024-03-29 00:43:26.895538+05:45",False,"e889a7a1-00f9-40cb-bffe-c8341edd4141","$RCAnonymousID:7a7dad45e7454cd3879da74cc4431ea3","20001299616056","20001294815849","Yearly","USD","41.99","2023-07-05 20:04:06+05:45","2024-07-05 20:04:06+05:45","2024-07-08 20:04:06+05:45","RENEWAL","APP_STORE"
